model,accuracy,f1_macro,f1_weighted,best_params
Linear SVM,0.6854,0.3779,0.6532,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': {'Mild Demented': 1.6115, 'Moderate Demented': 3.4917, 'Non-Demented': 0.3909, 'Very Mild Demented': 1.8705}, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
RBF SVM,0.764,0.515,0.711,"{'C': 100, 'break_ties': False, 'cache_size': 200, 'class_weight': {'Mild Demented': 1.6115, 'Moderate Demented': 3.4917, 'Non-Demented': 0.3909, 'Very Mild Demented': 1.8705}, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
